"","Club","Shot_Shape","Sex","Club_Path_Angle","CPA_LB","CPA_UB","Lie_Angle","LA_LB","LA_UB","Attack_Angle","AA_LB","AA_UB","Club_Speed","CS_LB","CS_UB","Shaft_Lean","SL_LB","SL_UB","Face_Angle","FA_LB","FA_UB","Data_Points"
"51","9 Iron","Medium Fade","Female",0.6,0.553396620294232,0.646603379705768,59.2665,59.1158323832764,59.4171676167236,-0.733333333333333,-0.805646310499722,-0.661020356166945,69.6783285612026,69.6520460471377,69.7046110752675,8.767,8.65801657236075,8.87598342763925,-0.991333333333333,-1.01788898441115,-0.964777682255518,6
"52","9 Iron","Low Draw","Female",3.7,3.57207666715971,3.82792333284029,63.5575,63.390497683991,63.7245023160091,-4.58888888888889,-4.72002309707102,-4.45775468070675,68.4444096476577,68.3896139793866,68.4992053159287,13.1306666666667,13.0277172997394,13.233616033594,1.77177777777778,1.73915826790365,1.8043972876519,18
"53","9 Iron","Low Straight","Female",3.1,2.9933829868173,3.2066170131827,63.81,63.6942087974056,63.9257912025944,-3.2,-3.28627387680047,-3.11372612319954,68.5751461465044,68.5333199276003,68.6169723654085,12.6964166666667,12.6306017765783,12.762231556755,0.53175,0.505760995482246,0.557739004517755,12
"54","9 Iron","Low Fade","Female",2.6,2.52268717617838,2.67731282382162,65.514,65.3432069764621,65.6847930235379,-3.2,-3.2815858443604,-3.1184141556396,68.718072818377,68.5389907334615,68.8971549032926,12.8418181818182,12.7692844083368,12.9143519552996,-0.527454545454546,-0.545398759434013,-0.509510331475078,11
"55","Driver","High Draw","Male",1.6,1.51235663787668,1.68764336212332,41.827,41.4566733017901,42.1973266982099,5.44153846153846,5.33363602900836,5.54944089406856,111.926965750785,111.790321667396,112.063609834173,-5.61803076923077,-5.72213279870277,-5.51392873975877,2.13315384615385,2.03444476565911,2.23186292664858,65
"56","Driver","High Straight","Male",1.2,1.11159445100046,1.28840554899954,41.217,40.8674727891117,41.5665272108883,5.36214285714286,5.25236240910121,5.47192330518451,111.374661263933,111.214771098309,111.534551429557,-5.52740714285714,-5.61705327123287,-5.43776101448141,0.428535714285714,0.347746468551386,0.509324960020042,140
"57","Driver","High Fade","Male",0.7,0.612620501207603,0.787379498792397,46.6755,46.3047253871028,47.0462746128972,4.505,4.42528331932631,4.58471668067369,112.827823013601,112.692748855583,112.962897171618,-4.3022,-4.3869866847323,-4.2174133152677,-1.2047,-1.25922952596807,-1.15017047403193,20
"58","Driver","Medium Draw","Male",1.9,1.75594374874501,2.04405625125499,40.113,39.8245719875786,40.4014280124214,3.60769230769231,3.47762668076616,3.73775793461846,109.080068553494,108.89262791695,109.267509190038,-3.52746153846154,-3.61549072549875,-3.43943235142433,1.97146153846154,1.87197774510692,2.07094533181616,13
"59","Driver","Medium Straight","Male",1.9,1.81787210604712,1.98212789395288,41.778,41.4746583406256,42.0813416593744,4.19387755102041,4.106448188133,4.28130691390782,109.220834002893,109.078501475748,109.363166530038,-3.36473469387755,-3.44475979347152,-3.28470959428358,0.205591836734694,0.133131234429351,0.278052439040037,49
"60","Driver","Medium Fade","Male",1.35,1.27709077418918,1.42290922581082,42.961,42.6498632400019,43.2721367599981,4.15833333333333,4.07142550217052,4.24524116449615,110.052046051062,109.920725227294,110.18336687483,-2.48033333333333,-2.54894452240007,-2.4117221442666,-1.57783333333333,-1.64253097380627,-1.5131356928604,12
"61","Driver","Low Draw","Male",0.9,0.891161165235168,0.908838834764832,48.89,48.464498494421,49.315501505579,4.1,4.05580582617584,4.14419417382416,111.532525053686,111.353292687135,111.711757420238,-1.543,-1.71305918087536,-1.37294081912464,1.9885,1.95203980659507,2.02496019340493,2
"62","Driver","Low Straight","Male",1.8,1.74586416064598,1.85413583935402,43.747,43.5254783070968,43.9685216929032,2.98461538461538,2.9059776441165,3.06325312511426,107.194847475359,106.958576135984,107.431118814735,-1.37438461538462,-1.42596142235468,-1.32280780841455,0.470230769230769,0.392762671992335,0.547698866469204,13
"63","Driver","Low Fade","Male",0.9,0.848968963692017,0.951031036307983,44.849,44.5780570358106,45.1199429641894,3.05,2.97975118624964,3.12024881375036,108.423183607731,108.205370954936,108.640996260526,-1.09175,-1.19147475629566,-0.992025243704338,-1.7275,-1.77737631838274,-1.67762368161726,4
"64","Driver","High Draw","Female",2.8,2.68411573752266,2.91588426247734,40.956,40.6283525946547,41.2836474053453,4.66285714285714,4.54223446958747,4.78347981612682,110.543511606504,110.390366262681,110.696656950326,-5.64591428571429,-5.73359426391908,-5.55823430750949,2.16862857142857,2.06939627807811,2.26786086477903,35
"65","Driver","High Straight","Female",1.6,1.47968657763045,1.72031342236955,44.241,43.8700441902204,44.6119558097796,4.87575757575758,4.72056560870304,5.03094954281212,110.223544500119,110.063737742362,110.383351257877,-4.99515151515152,-5.08365374979791,-4.90664928050512,-0.00736363636363636,-0.105020572383954,0.0902932996566813,33
"66","Driver","High Fade","Female",0.9,0.79359531383984,1.00640468616016,40.792,40.4400702810975,41.1439297189025,5.18421052631579,5.09625873737229,5.27216231525929,111.41932430396,111.242001094638,111.596647513281,-4.77126315789474,-4.83773995079248,-4.704786364997,-1.43794736842105,-1.54444594503208,-1.33144879181002,19
"67","Driver","Medium Draw","Female",2.8,2.7236237384174,2.8763762615826,43.297,42.822212184179,43.771787815821,2.06666666666667,1.84120417902552,2.29212915430781,110.430088284419,110.214286314804,110.645890254034,-2.37633333333333,-2.40445155010793,-2.34821511655873,2.93666666666667,2.8960637239367,2.97726960939664,3
"68","Driver","Medium Straight","Female",1.8,1.8,1.8,37.997,37.997,37.997,4.2,4.2,4.2,106.932265569077,106.932265569077,106.932265569077,-2.23,-2.23,-2.23,0.04,0.04,0.04,1
"69","Driver","Medium Fade","Female",0.9,0.873483495705504,0.926516504294495,38.1635,37.9971973238997,38.3298026761003,2,1.87625631329235,2.12374368670765,106.766732283465,106.762777901411,106.770686665518,-2.1205,-2.13274178614929,-2.10825821385071,-2.337,-2.43634850275671,-2.23765149724329,2
"70","Driver","Low Draw","Female",3.4,3.4,3.4,53.959,53.959,53.959,-2.4,-2.4,-2.4,115.074713672155,115.074713672155,115.074713672155,3.973,3.973,3.973,2.094,2.094,2.094,1
"71","Driver","Low Straight","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"72","Driver","Low Fade","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"73","Pitching Wedge","High Draw","Male",4,3.86586920029847,4.13413079970153,59.541,59.2869236776003,59.7950763223997,-4.88,-4.97446749251916,-4.78553250748084,83.8652767835839,83.7418651251269,83.9886884420409,11.3577333333333,11.2969076599938,11.4185590066728,2.0064,1.97384156352473,2.03895843647527,15
"74","Pitching Wedge","High Straight","Male",3,2.82712704817912,3.17287295182088,57.67,57.4156018213912,57.9243981786088,-4.47333333333333,-4.57012916212396,-4.37653750454271,83.6969100453352,83.5722509546316,83.8215691360389,11.7776666666667,11.6591459893489,11.8961873439845,0.510166666666667,0.469513145235217,0.550820188098116,30
"75","Pitching Wedge","High Fade","Male",-2.3,-2.48361247688179,-2.11638752311821,61.894,61.7973242822574,61.9906757177426,-3.43333333333333,-3.60055636304715,-3.26611030361952,85.7712210689573,85.6311948309826,85.911247306932,11.5303333333333,11.2662418492238,11.7944248174428,-1.6675,-1.72244724387424,-1.61255275612576,6
"76","Pitching Wedge","Medium Draw","Male",4.8,4.67211658955648,4.92788341044352,57.276,57.0648061187706,57.4871938812294,-5.02857142857143,-5.06119025894957,-4.99595259819329,82.3042361182125,82.1438059051607,82.4646663312643,11.0202857142857,10.826857040166,11.2137143884055,1.83585714285714,1.8029984763552,1.86871580935908,7
"77","Pitching Wedge","Medium Straight","Male",2.6,2.4576585022782,2.7423414977218,59.997,59.8541509724029,60.1398490275971,-4.7,-4.77214978936396,-4.62785021063604,80.902603793844,80.7860856152409,81.019121972447,12.62195,12.5541853583413,12.6897146416587,0.43885,0.399157580210655,0.478542419789345,20
"78","Pitching Wedge","Medium Fade","Male",3.6,3.6,3.6,53.472,53.472,53.472,-5.6,-5.6,-5.6,80.6527380100215,80.6527380100215,80.6527380100215,12.994,12.994,12.994,-0.402,-0.402,-0.402,1
"79","Pitching Wedge","Low Draw","Male",1.8,1.68047713906656,1.91952286093344,62.017,61.7142563381033,62.3197436618967,-5.8,-5.86681531047811,-5.73318468952189,78.7060442018611,78.4408426542827,78.9712457494396,11.523125,11.310528686644,11.735721313356,1.7465,1.72438852309966,1.76861147690034,8
